Kun,Sana,Hafta,Oy mavzusi,Haftalik mavzu,Chorak maqsadi,Kategoriya,Mavzu,Nega muhim,Ishonchli manba,E'lon vaqti,Muqova g'oyasi,Daraja,O'qish vaqti,CTA taklifi
279,6-Oktabr,40,Muloqot va munosabat,Muloqot va munosabat · Asoslar,Q4,Habits,Odatni almashtirish (o'chirish emas),"Kichik, amaliy qadam bilan haqiqiy o'zgarishni boshlash mumkinligini ko'rsatadi.",Charles Duhigg,07:00,"Minimal zanjir/streak yoki o'sayotgan urug' motivi, sokin ranglar",Boshlang'ich,1 daq,Ertangi kun uchun bitta kichik odat belgila.
280,7-Oktabr,40,Muloqot va munosabat,Muloqot va munosabat · Asoslar,Q4,Money Box,Pul va his-tuyg'u (emotional spending),Pulni boshqarishda xotirjam nazorat va sog'lom mentalitet beradi.,Bogle / indeks asoslari,07:30,"Minimal tanga/banka yoki o'sish-egri chizig'i, vazmin tilla aksent",O'rta,1 daq,Daromadingning 1 foizini bugun chetga qo'y.
281,8-Oktabr,41,Muloqot va munosabat,Muloqot va munosabat · Chuqurlashish,Q4,English Box,'In the long run' — uzoq muddatda,Har kuni bitta tabiiy ibora bilan ingliz tilini amaliy o'stiradi.,Merriam-Webster,07:00,"Toza tipografik karta — so'z katta yozilgan, ikki tilli minimal layout",Boshlang'ich,<1 daq,Eslab qolish uchun o'zing bitta gap tuz.
282,9-Oktabr,41,Muloqot va munosabat,Muloqot va munosabat · Chuqurlashish,Q4,Mind Box,Fundamental attribution error,"O'z xulqini tushunib, ongli qaror qabul qilishga yordam beradi.",Tekshirilgan psixologiya tadqiqotlari,07:00,"Abstrakt miya yoki ikki-yo'l silueti, vazmin premium palitra",O'rta,1 daq,Keyingi safar buni o'zingda kuzat.
283,10-Oktabr,41,Muloqot va munosabat,Muloqot va munosabat · Chuqurlashish,Q4,Productivity,Shutdown ritual — ish kunini yopish,Ko'p emas — muhim ishni fokus bilan bajarish yo'lini beradi.,Ali Abdaal,07:30,"Minimal fokus/soat yoki bitta-vazifa motivi, tinchlantiruvchi",O'rta,1 daq,Telefoningni 1 soat boshqa xonaga qo'y va ishla.
284,11-Oktabr,41,Muloqot va munosabat,Muloqot va munosabat · Chuqurlashish,Q4,Business Box,Franchise modeli,Biznes qurish va o'stirishning barqaror tamoyilini beradi.,Asoschilar memuarlari,07:30,"Toza geometrik framework diagrammasi yoki yuqoriga yo'l, korporativ-minimal",Murakkab,1–2 daq,Ushbu modelni o'z loyihangga moslab ko'r.
285,12-Oktabr,41,Muloqot va munosabat,Muloqot va munosabat · Chuqurlashish,Q4,Interesting Facts,Olmos abadiy emas (grafitga aylanadi),Tasdiqlangan qiziq fakt bilan dunyoga yangi nazar beradi.,Universitet/ensiklopediya,08:00,"Faktning predmeti — bitta jasur, minimal vizual",Boshlang'ich,<1 daq,Bugun shu faktni bir kishiga aytib ber.
286,13-Oktabr,41,Muloqot va munosabat,Muloqot va munosabat · Chuqurlashish,Q4,History Box,Internetning tug'ilishi,Real tarixiy voqeadan bugun uchun amaliy saboq beradi.,Akademik tarix + birlamchi manbalar,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Bugun shu saboqni o'z hayotingga qanday bog'laysan?
287,14-Oktabr,41,Muloqot va munosabat,Muloqot va munosabat · Chuqurlashish,Q4,Marketing Box,Narx anchoring marketingda,Odamlar nega xarid qilishini — diqqat va ishontirish psixologiyasini ochadi.,Ogilvy / Seth Godin,07:30,"Magnit, ko'z yoki voronka motivi; jasur, lekin toza bitta aksent rang",O'rta,1 daq,Sarlavhangni 3 xil variantda sinab ko'r.
288,15-Oktabr,42,Muloqot va munosabat,Muloqot va munosabat · Amaliyot,Q4,Leadership Box,Empatiya bilan boshqarish,Odamlarni boshqarish va kuchli jamoa qurish tamoyilini beradi.,Leadership tadqiqotlari + HBR,07:30,"Minimal kompas, mayoq yoki guruh oldidagi siluet; kuchli va sokin",O'rta,1–2 daq,Bugun jamoangdagi bir kishini chin ko'ngildan maqta.
289,16-Oktabr,42,Muloqot va munosabat,Muloqot va munosabat · Amaliyot,Q4,Arabic Box,So'z: سلام (salam) — tinchlik,Har kuni bitta arabcha so'z bilan til va ma'no eshigini ochadi.,Klassik/MSA manbalari,07:00,"So'zning nafis arab kalligrafiyasi, sokin fon",Boshlang'ich,<1 daq,Shu iborani bilganmidingiz? Izohda yozing.
290,17-Oktabr,42,Muloqot va munosabat,Muloqot va munosabat · Amaliyot,Q4,Mental Models,Game theory — o'yin nazariyasi asosi,Hayotning ko'p sohasida ishlaydigan qayta-qo'llanadigan tafakkur vositasi beradi.,Munger — latticework,07:30,"Minimal panjara/linza/tishli g'ildirak motivi, intellektual-premium",Murakkab,1 daq,Shu modelni qaysi muammoga qo'llaysan?
291,18-Oktabr,42,Muloqot va munosabat,Muloqot va munosabat · Amaliyot,Q4,Communication Box,Kelishuv (negotiation) asoslari,"Gapirish, tinglash va ishontirishni yaxshilab, tushunilishni oson qiladi.",Chris Voss (negotiation),08:00,"Gap-bulutchasi yoki ovoz-to'lqini minimal motivi, iliq lekin toza",O'rta,1 daq,Bugun bir kishini gapini bo'lmasdan oxirigacha eshit.
292,19-Oktabr,42,Muloqot va munosabat,Muloqot va munosabat · Amaliyot,Q4,AI Box,Avtomatlashtirishga mos vazifalar,"AI'ni amaliy va tushunarli qilib, bugun foydalanish yo'lini ko'rsatadi.",E'tiborli AI tadqiqotlari,08:00,"Minimal neyron/uchqun motivi, sovuq premium palitra (robot klishesiz)",O'rta,1 daq,Shu promptni bugun o'zingda sinab ko'r.
293,20-Oktabr,42,Muloqot va munosabat,Muloqot va munosabat · Amaliyot,Q4,Critical Thinking,Survivorship bias,"Fikrlashni o'tkirlashtirib, yomon dalillardan himoya qiladi.",Kognitiv fan,07:30,"Lupa yoki shoxlanuvchi-savol motivi, toza intellektual uslub",Murakkab,1 daq,Keyingi xabarni o'qiganda manbasini so'ra.
294,21-Oktabr,42,Muloqot va munosabat,Muloqot va munosabat · Amaliyot,Q4,Technology Box,Backup — ma'lumotni saqlash madaniyati,Hayot va karyera uchun muhim texnologiya hamda ko'nikmani tushuntiradi.,Nufuzli texno-jurnalistika,08:00,"Toza kontur uslubidagi mikrosxema/qurilma, vazmin va zamonaviy",O'rta,1 daq,Keyingi 6 oyda o'rganmoqchi bo'lgan ko'nikmani yoz.
295,22-Oktabr,43,Muloqot va munosabat,Muloqot va munosabat · Mahorat,Q4,Success Stories,Oprah Winfrey — og'ir boshlanish,Real hikoyadan qiyinchilikni yengish va amaliy saboq beradi (mif emas).,Rasmiy intervyular,08:00,"Minimal portret silueti yoki cho'qqi motivi, iliq va ilhomli premium",O'rta,1–2 daq,Sen qaysi qadamdan boshlaysan?
296,23-Oktabr,43,Muloqot va munosabat,Muloqot va munosabat · Mahorat,Q4,Decision Making,Qadriyatga asoslangan qaror,Noaniqlikda yaxshiroq va aniqroq qaror qabul qilishga yordam beradi.,Annie Duke — Thinking in Bets,07:30,"Minimal chorraha/ayri yo'l yoki tarozi motivi, aniq va muvozanatli",Murakkab,1 daq,Qaroringni 10/10/10 qoidasi bilan sinab ko'r.
297,24-Oktabr,43,Muloqot va munosabat,Muloqot va munosabat · Mahorat,Q4,Islamic Wisdom,Qo'shni haqlari,"Hayotga ma'no, axloq va ichki muvozanat baxsh etadi.",E'tirof etilgan ulamolar,07:00,"Minimal geometrik/arabeska naqsh, sokin yer ranglari (tasvirsiz)",Boshlang'ich,1 daq,Bugun bir kishiga chin ko'ngildan yaxshilik qil.
298,25-Oktabr,43,Muloqot va munosabat,Muloqot va munosabat · Mahorat,Q4,Life Lessons,Mehnat va sabr mevasi,Hayotni yaxshiroq yashashga yordam beradigan asosli donolik beradi.,Hikmat adabiyoti,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,Bugun bir kishidan kechirim so'ra yoki rahmat ayt.
299,26-Oktabr,43,Muloqot va munosabat,Muloqot va munosabat · Mahorat,Q4,Book Box,Sapiens — hikoyalar insoniyatni birlashtirgani,Yillar davomida shakllangan kitob g'oyasini 1 daqiqada o'zlashtiradi.,Universitet konspektlari,07:00,"Minimal ochiq kitob yoki kitob qirrasi, sokin gradient, bitta g'oya-ibora",O'rta,1–2 daq,Ushbu kitobni o'qiganmisiz? Asosiy saboqni izohda yozing.
300,27-Oktabr,43,Muloqot va munosabat,Muloqot va munosabat · Mahorat,Q4,History Box,Edisonning 1000 urinishi,Real tarixiy voqeadan bugun uchun amaliy saboq beradi.,Universitet/muzey materiallari,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Tarix takrorlanmasligi uchun bugun nima qilasan?
301,28-Oktabr,43,Muloqot va munosabat,Muloqot va munosabat · Mahorat,Q4,Habits,Relapse'dan keyin qaytish,"Kichik, amaliy qadam bilan haqiqiy o'zgarishni boshlash mumkinligini ko'rsatadi.",BJ Fogg (Stanford),07:00,"Minimal zanjir/streak yoki o'sayotgan urug' motivi, sokin ranglar",Boshlang'ich,1 daq,Shu odatni mavjud odatingga ulab qo'y.
302,29-Oktabr,44,Muloqot va munosabat,Muloqot va munosabat · Mustahkamlash,Q4,Leadership Box,Konfliktni boshqarish,Odamlarni boshqarish va kuchli jamoa qurish tamoyilini beradi.,Tasdiqlangan liderlik hikoyalari,07:30,"Minimal kompas, mayoq yoki guruh oldidagi siluet; kuchli va sokin",O'rta,1–2 daq,Bugun bitta qarorni jamoang bilan maslahatlash.
303,30-Oktabr,44,Muloqot va munosabat,Muloqot va munosabat · Mustahkamlash,Q4,Money Box,Sug'urta nega himoya,Pulni boshqarishda xotirjam nazorat va sog'lom mentalitet beradi.,Markaziy bank moliyaviy savod,07:30,"Minimal tanga/banka yoki o'sish-egri chizig'i, vazmin tilla aksent",O'rta,1 daq,Bu oygi bitta moliyaviy maqsadingni yozib qo'y.
304,31-Oktabr,44,Muloqot va munosabat,Muloqot va munosabat · Mustahkamlash,Q4,English Box,'Pull yourself together' — o'zingni qo'lga ol,Har kuni bitta tabiiy ibora bilan ingliz tilini amaliy o'stiradi.,Ishonchli ESL manbalari,07:00,"Toza tipografik karta — so'z katta yozilgan, ikki tilli minimal layout",Boshlang'ich,<1 daq,Shu so'zni bugun ovoz chiqarib mashq qil.
305,1-Noyabr,44,Tafakkur va qaror,Tafakkur va qaror · Asoslar,Q4,Mind Box,Prokrastinatsiya ildizi — his boshqaruvi,"O'z xulqini tushunib, ongli qaror qabul qilishga yordam beradi.",Universitet psix. manbalari,07:00,"Abstrakt miya yoki ikki-yo'l silueti, vazmin premium palitra",O'rta,1 daq,Bugun bitta qaroringda bu xatoga e'tibor ber.
306,2-Noyabr,44,Tafakkur va qaror,Tafakkur va qaror · Asoslar,Q4,Productivity,Diqqat va telefon bog'liqligi,Ko'p emas — muhim ishni fokus bilan bajarish yo'lini beradi.,GTD (David Allen),07:30,"Minimal fokus/soat yoki bitta-vazifa motivi, tinchlantiruvchi",O'rta,1 daq,Bugun ertaga uchun 3 ta MIT (eng muhim ish) yoz.
307,3-Noyabr,44,Tafakkur va qaror,Tafakkur va qaror · Asoslar,Q4,Business Box,Subscription (obuna) biznesi,Biznes qurish va o'stirishning barqaror tamoyilini beradi.,Rasmiy kompaniya case-study'lari,07:30,"Toza geometrik framework diagrammasi yoki yuqoriga yo'l, korporativ-minimal",Murakkab,1–2 daq,Bugun bitta gipotezangni kichik test bilan tekshir.
308,4-Noyabr,44,Tafakkur va qaror,Tafakkur va qaror · Asoslar,Q4,Interesting Facts,Inson tanasidagi bakteriyalar soni,Tasdiqlangan qiziq fakt bilan dunyoga yangi nazar beradi.,Birlamchi tadqiqot,08:00,"Faktning predmeti — bitta jasur, minimal vizual",Boshlang'ich,<1 daq,Shu hodisa ortidagi sababni o'ylab ko'r.
309,5-Noyabr,45,Tafakkur va qaror,Tafakkur va qaror · Asoslar,Q4,Marketing Box,Loyallik dasturlari,Odamlar nega xarid qilishini — diqqat va ishontirish psixologiyasini ochadi.,Rasmiy brend case-study'lari,07:30,"Magnit, ko'z yoki voronka motivi; jasur, lekin toza bitta aksent rang",O'rta,1 daq,Bugun bitta mijozdan 'nega tanladingiz?' deb so'ra.
310,6-Noyabr,45,Tafakkur va qaror,Tafakkur va qaror · Asoslar,Q4,Arabic Box,So'z: خير (khayr) — yaxshilik,Har kuni bitta arabcha so'z bilan til va ma'no eshigini ochadi.,E'tirofli til resurslari,07:00,"So'zning nafis arab kalligrafiyasi, sokin fon",Boshlang'ich,<1 daq,Shu so'zni bugun bir jumlada eslab ko'r.
311,7-Noyabr,45,Tafakkur va qaror,Tafakkur va qaror · Asoslar,Q4,Mental Models,Bottleneck — cheklov nazariyasi,Hayotning ko'p sohasida ishlaydigan qayta-qo'llanadigan tafakkur vositasi beradi.,Modelning asl sohasi (fizika/biologiya...),07:30,"Minimal panjara/linza/tishli g'ildirak motivi, intellektual-premium",Murakkab,1 daq,Bugun shu nuqtai nazardan bitta masalaga qara.
312,8-Noyabr,45,Tafakkur va qaror,Tafakkur va qaror · Chuqurlashish,Q4,Communication Box,Samimiy maqtov,"Gapirish, tinglash va ishontirishni yaxshilab, tushunilishni oson qiladi.",Ritorika klassikalari,08:00,"Gap-bulutchasi yoki ovoz-to'lqini minimal motivi, iliq lekin toza",O'rta,1 daq,Shu texnikani keyingi suhbatda sinab ko'r.
313,9-Noyabr,45,Tafakkur va qaror,Tafakkur va qaror · Chuqurlashish,Q4,AI Box,Few-shot — misol berish texnikasi,"AI'ni amaliy va tushunarli qilib, bugun foydalanish yo'lini ko'rsatadi.",Universitet kurslari,08:00,"Minimal neyron/uchqun motivi, sovuq premium palitra (robot klishesiz)",O'rta,1 daq,Bugun AI bilan bitta g'oyani brainstorming qil.
314,10-Noyabr,45,Tafakkur va qaror,Tafakkur va qaror · Chuqurlashish,Q4,Critical Thinking,O'z fikringni rad eta olish,"Fikrlashni o'tkirlashtirib, yomon dalillardan himoya qiladi.",Farnam Street / falsafa asoslari,07:30,"Lupa yoki shoxlanuvchi-savol motivi, toza intellektual uslub",Murakkab,1 daq,Bugun bitta qarama-qarshi fikrni adolatli o'qib chiq.
315,11-Noyabr,45,Tafakkur va qaror,Tafakkur va qaror · Chuqurlashish,Q4,Technology Box,Phishing'dan himoya,Hayot va karyera uchun muhim texnologiya hamda ko'nikmani tushuntiradi.,Standart tashkilotlari,08:00,"Toza kontur uslubidagi mikrosxema/qurilma, vazmin va zamonaviy",O'rta,1 daq,Bugun bitta raqamli gigiena qadamini bajar.
316,12-Noyabr,46,Tafakkur va qaror,Tafakkur va qaror · Chuqurlashish,Q4,Success Stories,Brian Acton (WhatsApp) — Facebook rad etgani,Real hikoyadan qiyinchilikni yengish va amaliy saboq beradi (mif emas).,E'tiborli jurnalistika,08:00,"Minimal portret silueti yoki cho'qqi motivi, iliq va ilhomli premium",O'rta,1–2 daq,Bugun bitta 'rad javob'dan qo'rqmasdan harakat qil.
317,13-Noyabr,46,Tafakkur va qaror,Tafakkur va qaror · Chuqurlashish,Q4,Decision Making,Sunk cost'ni e'tiborsiz qoldirish,Noaniqlikda yaxshiroq va aniqroq qaror qabul qilishga yordam beradi.,Qaror fani (decision science),07:30,"Minimal chorraha/ayri yo'l yoki tarozi motivi, aniq va muvozanatli",Murakkab,1 daq,Bugun bitta kichik qarorni 24 soat sovutib ko'r.
318,14-Noyabr,46,Tafakkur va qaror,Tafakkur va qaror · Chuqurlashish,Q4,Islamic Wisdom,Va'daga vafo,"Hayotga ma'no, axloq va ichki muvozanat baxsh etadi.",Klassik asarlar,07:00,"Minimal geometrik/arabeska naqsh, sokin yer ranglari (tasvirsiz)",Boshlang'ich,1 daq,Bugun shu fazilatni bitta ishda ko'rsat.
319,15-Noyabr,46,Tafakkur va qaror,Tafakkur va qaror · Amaliyot,Q4,Life Lessons,O'zingga mehr (self-compassion),Hayotni yaxshiroq yashashga yordam beradigan asosli donolik beradi.,Umuminsoniy haqiqatlar,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,Shu saboqni bugun bitta ishda yasha.
320,16-Noyabr,46,Tafakkur va qaror,Tafakkur va qaror · Amaliyot,Q4,Book Box,The Obstacle Is the Way — to'siq yo'lning o'zi,Yillar davomida shakllangan kitob g'oyasini 1 daqiqada o'zlashtiradi.,Blinkist (tekshirilgan),07:00,"Minimal ochiq kitob yoki kitob qirrasi, sokin gradient, bitta g'oya-ibora",O'rta,1–2 daq,Shu fikrni bugun bir amalga aylantir.
321,17-Noyabr,46,Tafakkur va qaror,Tafakkur va qaror · Amaliyot,Q4,History Box,Buyuk depressiya saboqlari,Real tarixiy voqeadan bugun uchun amaliy saboq beradi.,E'tiborli tarixchilar,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Shu voqeadan bitta xulosani yozib qo'y.
322,18-Noyabr,46,Tafakkur va qaror,Tafakkur va qaror · Amaliyot,Q4,Leadership Box,Mentorlik — o'sishga imkon berish,Odamlarni boshqarish va kuchli jamoa qurish tamoyilini beradi.,Harbiy/sport/biznes case'lar,07:30,"Minimal kompas, mayoq yoki guruh oldidagi siluet; kuchli va sokin",O'rta,1–2 daq,Bugun bir mas'uliyatni ishonib topshir (delegatsiya).
323,19-Noyabr,47,Tafakkur va qaror,Tafakkur va qaror · Amaliyot,Q4,Habits,Plateau — ko'rinmas o'sish bosqichi,"Kichik, amaliy qadam bilan haqiqiy o'zgarishni boshlash mumkinligini ko'rsatadi.",James Clear — Atomic Habits,07:00,"Minimal zanjir/streak yoki o'sayotgan urug' motivi, sokin ranglar",Boshlang'ich,1 daq,Bugun shu odatni 2 daqiqalik versiyada boshla.
324,20-Noyabr,47,Tafakkur va qaror,Tafakkur va qaror · Amaliyot,Q4,Money Box,Uzoq muddatli fikrlash kuchi,Pulni boshqarishda xotirjam nazorat va sog'lom mentalitet beradi.,The Psychology of Money (Housel),07:30,"Minimal tanga/banka yoki o'sish-egri chizig'i, vazmin tilla aksent",O'rta,1 daq,Bugun bitta keraksiz xarajatni jamg'armaga yo'naltir.
325,21-Noyabr,47,Tafakkur va qaror,Tafakkur va qaror · Amaliyot,Q4,English Box,'Food for thought' — o'ylantiradigan narsa,Har kuni bitta tabiiy ibora bilan ingliz tilini amaliy o'stiradi.,Oxford / Cambridge lug'ati,07:00,"Toza tipografik karta — so'z katta yozilgan, ikki tilli minimal layout",Boshlang'ich,<1 daq,Bugun shu iborani bitta jumlada ishlat.
326,22-Noyabr,47,Tafakkur va qaror,Tafakkur va qaror · Mahorat,Q4,Mind Box,Dopamin va kutish mexanizmi,"O'z xulqini tushunib, ongli qaror qabul qilishga yordam beradi.",Kahneman / Cialdini,07:00,"Abstrakt miya yoki ikki-yo'l silueti, vazmin premium palitra",O'rta,1 daq,Bugun shu his kelganda nomini ayt va bir nafas ol.
327,23-Noyabr,47,Tafakkur va qaror,Tafakkur va qaror · Mahorat,Q4,Productivity,Rejalashtirishning real kuchi,Ko'p emas — muhim ishni fokus bilan bajarish yo'lini beradi.,Cal Newport — Deep Work,07:30,"Minimal fokus/soat yoki bitta-vazifa motivi, tinchlantiruvchi",O'rta,1 daq,Bugun eng muhim bitta ishni birinchi qil.
328,24-Noyabr,47,Tafakkur va qaror,Tafakkur va qaror · Mahorat,Q4,Business Box,Mijozni ushlab qolish (retention),Biznes qurish va o'stirishning barqaror tamoyilini beradi.,Harvard Business Review,07:30,"Toza geometrik framework diagrammasi yoki yuqoriga yo'l, korporativ-minimal",Murakkab,1–2 daq,Bugun so'ra: kim sening haqiqiy mijozing?
329,25-Noyabr,47,Tafakkur va qaror,Tafakkur va qaror · Mahorat,Q4,Interesting Facts,Banan tabiiy radioaktiv (zararsiz),Tasdiqlangan qiziq fakt bilan dunyoga yangi nazar beradi.,Ilmiy jurnallar,08:00,"Faktning predmeti — bitta jasur, minimal vizual",Boshlang'ich,<1 daq,Buni bilarmidingiz? Yana qiziq faktni izohda yozing.
330,26-Noyabr,48,Tafakkur va qaror,Tafakkur va qaror · Mahorat,Q4,Marketing Box,Reklama va PR farqi,Odamlar nega xarid qilishini — diqqat va ishontirish psixologiyasini ochadi.,Cialdini — Influence,07:30,"Magnit, ko'z yoki voronka motivi; jasur, lekin toza bitta aksent rang",O'rta,1 daq,Bugun taklifingni mijoz ehtiyoji tilida qayta yoz.
331,27-Noyabr,48,Tafakkur va qaror,Tafakkur va qaror · Mahorat,Q4,Arabic Box,So'z: توكل (tawakkul) — tavakkul,Har kuni bitta arabcha so'z bilan til va ma'no eshigini ochadi.,Ishonchli arab lug'atlari,07:00,"So'zning nafis arab kalligrafiyasi, sokin fon",Boshlang'ich,<1 daq,Bugun shu so'zni ovoz chiqarib 3 marta takrorla.
332,28-Noyabr,48,Tafakkur va qaror,Tafakkur va qaror · Mahorat,Q4,Mental Models,Regression to the mean,Hayotning ko'p sohasida ishlaydigan qayta-qo'llanadigan tafakkur vositasi beradi.,Farnam Street,07:30,"Minimal panjara/linza/tishli g'ildirak motivi, intellektual-premium",Murakkab,1 daq,Bugungi bitta qarorni shu model orqali ko'rib chiq.
333,29-Noyabr,48,Tafakkur va qaror,Tafakkur va qaror · Mustahkamlash,Q4,Communication Box,Suhbatni boshlash mahorati,"Gapirish, tinglash va ishontirishni yaxshilab, tushunilishni oson qiladi.",Communication tadqiqotlari,08:00,"Gap-bulutchasi yoki ovoz-to'lqini minimal motivi, iliq lekin toza",O'rta,1 daq,"Bugungi suhbatda kamroq gapir, ko'proq tingla."
334,30-Noyabr,48,Tafakkur va qaror,Tafakkur va qaror · Mustahkamlash,Q4,AI Box,AI bilan brainstorming,"AI'ni amaliy va tushunarli qilib, bugun foydalanish yo'lini ko'rsatadi.",Rasmiy model hujjatlari (Anthropic/OpenAI/Google),08:00,"Minimal neyron/uchqun motivi, sovuq premium palitra (robot klishesiz)",O'rta,1 daq,Bugun bitta takroriy ishni AI'ga top va vaqtingni o'lcha.
335,1-Dekabr,48,Refleksiya va shukr,Refleksiya va shukr · Asoslar,Q4,Critical Thinking,Manbalar tarafkashligini ko'rish,"Fikrlashni o'tkirlashtirib, yomon dalillardan himoya qiladi.",Mantiq / critical thinking darsliklari,07:30,"Lupa yoki shoxlanuvchi-savol motivi, toza intellektual uslub",Murakkab,1 daq,Bugun bir fikringga 'qaerdan bilaman?' deb savol ber.
336,2-Dekabr,48,Refleksiya va shukr,Refleksiya va shukr · Asoslar,Q4,Technology Box,Texnologik gigiena (raqamli muvozanat),Hayot va karyera uchun muhim texnologiya hamda ko'nikmani tushuntiradi.,Rasmiy mahsulot hujjatlari,08:00,"Toza kontur uslubidagi mikrosxema/qurilma, vazmin va zamonaviy",O'rta,1 daq,Bugun shu vositani 10 daqiqa sinab ko'r.
337,3-Dekabr,49,Refleksiya va shukr,Refleksiya va shukr · Asoslar,Q4,Success Stories,Vera Wang — kech boshlangan muvaffaqiyat,Real hikoyadan qiyinchilikni yengish va amaliy saboq beradi (mif emas).,Tekshirilgan biografiyalar,08:00,"Minimal portret silueti yoki cho'qqi motivi, iliq va ilhomli premium",O'rta,1–2 daq,Shu hikoyadan bitta saboq olib bugun qo'lla.
338,4-Dekabr,49,Refleksiya va shukr,Refleksiya va shukr · Asoslar,Q4,Decision Making,Intuitsiya qachon ishonchli,Noaniqlikda yaxshiroq va aniqroq qaror qabul qilishga yordam beradi.,Kahneman,07:30,"Minimal chorraha/ayri yo'l yoki tarozi motivi, aniq va muvozanatli",Murakkab,1 daq,Bugungi qarorni 'eng yomon holatda nima bo'ladi?' bilan ko'r.
339,5-Dekabr,49,Refleksiya va shukr,Refleksiya va shukr · Asoslar,Q4,Islamic Wisdom,Mizon — o'lchov va halollik,"Hayotga ma'no, axloq va ichki muvozanat baxsh etadi.",Qur'on va sahih hadis (to'g'ri nisbat),07:00,"Minimal geometrik/arabeska naqsh, sokin yer ranglari (tasvirsiz)",Boshlang'ich,1 daq,Bugun shu amalni bir marta niyat bilan bajar.
340,6-Dekabr,49,Refleksiya va shukr,Refleksiya va shukr · Asoslar,Q4,Life Lessons,Hayot adolatsiz — javobing seniki,Hayotni yaxshiroq yashashga yordam beradigan asosli donolik beradi.,Stoik falsafa,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,Bugun shu fikr bilan bir lahza to'xtab o'yla.
341,7-Dekabr,49,Refleksiya va shukr,Refleksiya va shukr · Asoslar,Q4,Book Box,Grit — qat'iyat iste'doddan ustun,Yillar davomida shakllangan kitob g'oyasini 1 daqiqada o'zlashtiradi.,Asl kitob + muallif intervyulari,07:00,"Minimal ochiq kitob yoki kitob qirrasi, sokin gradient, bitta g'oya-ibora",O'rta,1–2 daq,Bugun shu g'oyani bitta qaroringda sinab ko'r.
342,8-Dekabr,49,Refleksiya va shukr,Refleksiya va shukr · Chuqurlashish,Q4,History Box,Algebra — 'al-jabr' dan kelgan ilm,Real tarixiy voqeadan bugun uchun amaliy saboq beradi.,Akademik tarix + birlamchi manbalar,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Bugun shu saboqni o'z hayotingga qanday bog'laysan?
343,9-Dekabr,49,Refleksiya va shukr,Refleksiya va shukr · Chuqurlashish,Q4,Leadership Box,Kamtar lider (Level 5),Odamlarni boshqarish va kuchli jamoa qurish tamoyilini beradi.,Leadership tadqiqotlari + HBR,07:30,"Minimal kompas, mayoq yoki guruh oldidagi siluet; kuchli va sokin",O'rta,1–2 daq,Bugun jamoangdagi bir kishini chin ko'ngildan maqta.
344,10-Dekabr,50,Refleksiya va shukr,Refleksiya va shukr · Chuqurlashish,Q4,Habits,Mukofot va motivatsiya bog'liqligi,"Kichik, amaliy qadam bilan haqiqiy o'zgarishni boshlash mumkinligini ko'rsatadi.",Charles Duhigg,07:00,"Minimal zanjir/streak yoki o'sayotgan urug' motivi, sokin ranglar",Boshlang'ich,1 daq,Ertangi kun uchun bitta kichik odat belgila.
345,11-Dekabr,50,Refleksiya va shukr,Refleksiya va shukr · Chuqurlashish,Q4,Money Box,Kichik xarajatlar (latte factor),Pulni boshqarishda xotirjam nazorat va sog'lom mentalitet beradi.,Bogle / indeks asoslari,07:30,"Minimal tanga/banka yoki o'sish-egri chizig'i, vazmin tilla aksent",O'rta,1 daq,Daromadingning 1 foizini bugun chetga qo'y.
346,12-Dekabr,50,Refleksiya va shukr,Refleksiya va shukr · Chuqurlashish,Q4,English Box,So'z: 'nuance' (nozik farq),Har kuni bitta tabiiy ibora bilan ingliz tilini amaliy o'stiradi.,Merriam-Webster,07:00,"Toza tipografik karta — so'z katta yozilgan, ikki tilli minimal layout",Boshlang'ich,<1 daq,Eslab qolish uchun o'zing bitta gap tuz.
347,13-Dekabr,50,Refleksiya va shukr,Refleksiya va shukr · Chuqurlashish,Q4,Mind Box,Halo effekti,"O'z xulqini tushunib, ongli qaror qabul qilishga yordam beradi.",Tekshirilgan psixologiya tadqiqotlari,07:00,"Abstrakt miya yoki ikki-yo'l silueti, vazmin premium palitra",O'rta,1 daq,Keyingi safar buni o'zingda kuzat.
348,14-Dekabr,50,Refleksiya va shukr,Refleksiya va shukr · Chuqurlashish,Q4,Productivity,Dam olish — mahsuldorlik qismi,Ko'p emas — muhim ishni fokus bilan bajarish yo'lini beradi.,Ali Abdaal,07:30,"Minimal fokus/soat yoki bitta-vazifa motivi, tinchlantiruvchi",O'rta,1 daq,Telefoningni 1 soat boshqa xonaga qo'y va ishla.
